requirements,requirement_type
"Each control system must have stops that positively limit the range of motion of each movable aerodynamic surface controlled by the system.","2"
"Each fuel storage system must be capable of jettisoning fuel safely if required for landing.","1"
"The structure supporting any engine or auxiliary power unit must be designed for the loads, including gyroscopic loads, arising from the conditions specified in Sections 25 - 331, 25 - 341, 25 - 349, 25 - 351, 25 - 473, 25 - 479, and 25 - 481, with the engine or auxiliary power unit at the maximum rotating speed appropriate to the condition.","0"
"The flight control systems and surfaces must be designed for the limit loads generated when the airplane is subjected to a horizontal 65 - knot ground gust from any direction while taxiing and while parked.","0"
"Pressurization system must be designed to protect against decompression to an unsafe level.","0"
"The airplane design must protect the pilot and flight controls from propellers.","1"
"Each flight recorder must be installed so that there is an aural or visual means for preflight checking of the recorder for proper recording of data in the storage medium.","0"
"Any taxi and landing lights must be designed and installed so they provide sufficient light for night operations.","0"
"The design must clearly indicate the function of each cockpit control, other than primary flight controls.","0"
"The brake controls must be designed and constructed so that excessive control force is not required for their operation.","0"
"For levels 1, 2 and 3 airplanes, materials in each compartment accessible in flight must be flame resistant.","1"
"Each part of the airplane must have adequate provisions for ventilation and drainage.","0"
"Each cockpit voice recorder must be installed so that it has an independent power source to which the cockpit voice recorder and cockpit - mounted area microphone are switched automatically in the event that all other power to the cockpit voice recorder is interrupted either by normal shutdown or by any other loss of power to the electrical power bus.","1"
"Trim systems must provide a means to indicate the range for takeoff for all applicant requested center of gravity ranges and configurations.","1"
"The airplane flight control systems must be designed to protect against likely hazards.","0"
"Trim systems must provide a means to indicate the direction of trim control movement relative to airplane motion.","1"
"Each main float must have a buoyancy of 80 percent in excess of that required to support the maximum weight of the seaplane or amphibian in fresh water.","0"
"Pressurization system must be designed to protect against excessive differential pressure.","0"
"For level 4 airplanes, each baggage and cargo compartment must be located where a fire would be visible to the pilots, or equipped with a fire detection system and warning system.","0"
"All lights must be designed and installed to minimize any adverse effects on the performance of flightcrew duties.","0"
"Airplanes approved for aerobatics must have a means to egress the airplane in flight.","1"
"Each baggage and cargo compartment must be designed for its maximum weight of contents and for the critical load distributions at the maximum load factors corresponding to the flight and ground load conditions determined under this part.","0"
"The powerplant installation design must prevent any accumulation of ice or snow that adversely affects powerplant operation, in those icing conditions for which certification is requested.","1"
"The structure must support limit loads without detrimental permanent deformation.","1"
"Each fuel storage system must provide fuel for at least one - half hour of operation at maximum continuous power or thrust.","2"
"Airplanes not certified for aerobatics must have static longitudinal, lateral, and directional stability in normal operations.","2"
"The aircraft shall supply airspeed data to the flight recorder.","1"
"The record container must be located as far aft as practicable, but need not be aft of the pressurized compartment, and may not be where aft - mounted engines may crush the container upon impact.","0"
"A means to ensure the prompt detection of fire must be provided for each designated fire zone that contains a fire extinguisher.","1"
"For airplanes intended for operation on land or water, the airplane must have controllable longitudinal and directional handling characteristics during taxi, takeoff, and landing operations.","2"
"Each fuel system must provide at least 100 percent of the fuel flow required under each intended operating condition and maneuver.","2"
"The air induction system for each powerplant or auxiliary power unit and their accessories must provide an alternate intake if blockage of the primary intake is likely.","0"
"Control surfaces and supporting hinge brackets must be designed for inertia loads acting parallel to the hinge line.","0"
"A means to extinguish fire within a fire zone, except a combustion heater fire zone, must be provided for any fire zone on a level 4 airplane.","1"
"The airplane flight control systems must be designed to operate easily, smoothly, and positively enough to allow proper performance of their functions.","0"
"Any position and anti - collision lights must have the flash rate to provide sufficient time for another aircraft to avoid a collision.","0"
"The aircraft shall supply altitude data to the flight recorder.","1"
"The structure must support limit loads without interference with the safe operation of the airplane.","1"
"The landing gear system must be designed so that when it fails due to overloads during takeoff and landing, the failure mode is not likely to cause spillage of enough fuel to constitute a fire hazard.","0"
"For turbojet reversing systems, each system intended for ground operation only must be designed so that during any reversal in flight the engine will produce no more than flight idle thrust.","0"
